OBJECTID,CSA2010,crime10,crime11,crime12,crime13,crime14,crime15,crime16,crime17,crime18,crime19,CSA2020,crime20,crime21,crime22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,40.5747055558981,46.1861010051181,45.4461367700561,47.296047357711,55.1273,59.320466177468,49.5776037491521,61.1087130788678,62.4036504902263,60.8620583338471,Allendale/Irvington/S. Hilton,51.9287833827893,44.44294578,44.4429457782574,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,33.5942596216569,36.1219830397913,36.6112198303979,36.0404435746902,46.559,37.3450750163078,39.5466405740378,44.4390084801043,45.662100456621,38.5681669928245,Beechfield/Ten Hills/West Hills,30.7042952909046,29.62840354,24.6627493172225,47882527.7110596,37524.9505334171
3,Belair-Edison,50.2985760220487,57.0739549839228,52.6527331189711,57.3610473128158,56.6146,52.5378961874138,52.7675700505282,61.8971061093247,53.226917776757,49.8966467615985,Belair-Edison,43.9509446470003,37.38813391,40.9678488564799,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,81.6541458962297,79.0563785719301,62.1357860001404,61.2932668679351,54.9042,61.6443165063539,80.3903671979217,98.5045285403356,85.4454819911536,62.8378852769781,Brooklyn/Curtis Bay/Hawkins Point,55.6421099488093,61.57726834,83.9824912827361,176077742.748718,150987.703638771
5,Canton,60.9876543209877,64.8148148148148,57.9012345679012,56.4197530864198,46.5432,51.2345679012345,45.5555555555555,43.9506172839506,58.641975308642,52.2222222222222,Canton,35.9266901322976,38.23279524,47.0930938220658,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,43.7237339219765,48.3932589039351,46.6952498195865,52.1713291166108,52.2987,53.5721866111983,48.2234579955002,59.2605170437661,53.1052341130025,52.5533811605892,Cedonia/Frankford,40.2137608550434,36.07214429,39.1449565798263,71541340.3063965,39962.5498347166
7,Cherry Hill,59.9853694220922,64.7403072421361,59.1319190441356,50.5974152645696,53.5235,57.3030968056571,65.1060716898317,66.9348939283101,67.0568154108754,49.1343574737868,Cherry Hill,40.4215581643543,46.69156884,51.2273212379936,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,43.5791645177927,33.3935018050542,44.481691593605,42.8055698813822,47.705,52.4755028365136,40.6137184115523,42.4187725631768,35.4564208354822,31.8463125322331,Chinquapin Park/Belvedere,26.8735281894999,19.67031445,26.319434824768,21022590.1307373,21705.411630344
9,Claremont/Armistead,52.6060017008869,63.1757988093792,48.9612440772689,50.0546713643543,46.2884,48.1108006317579,55.8862835621431,62.9328149678046,52.9704774632487,64.02624225489,Orchard Ridge/Armistead,48.1023830538394,44.68225949,52.846425419241,61243774.4211426,40104.415980189
10,Clifton-Berea,57.9299169536156,60.9681993113227,56.410775774762,57.1197083248937,54.9929,66.5383836337856,67.956248734049,67.7536965768685,66.5383836337857,65.3230706907028,Clifton-Berea,70.3444635079847,70.87237693,70.8723769301834,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,15.4212060764155,15.2677612398343,14.6539818935093,17.4927113702624,14.5773,23.7072272518029,21.4822771213748,20.0245511738529,14.1169249654749,14.7307043117999,Cross-Country/Cheswolde,13.3958979792628,10.14152728,12.2606523877999,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,49.5001219214826,42.1848329675689,38.0395025603511,38.0395025603511,29.2612,31.9434284320897,32.6749573274811,32.9188002926115,26.3350402340892,34.8695440136552,Dickeyville/Franklintown,26.9607843137255,31.59041394,29.1394335511983,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,52.3502460546411,50.6533174953334,48.7018496521296,55.0653317495333,56.4229,50.3139317834719,50.4836246394026,57.1864924486679,47.6836925165451,47.5139996606142,Dorchester/Ashburton,43.7697538549947,45.78105545,52.3896178526961,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,424.442609413708,313.68290412659,331.368290412659,291.964008687558,243.252,268.228358672044,299.100217188954,270.865653118212,296.462922742786,312.75209432206,Downtown/Seton Hill,134.6316680779,142.5698561,172.734970364098,20736554.4064941,21565.859394559
15,Edmondson Village,28.4810126582278,40.5063291139241,43.7974683544304,36.8354430379747,38.8608,42.1518987341772,32.5316455696202,51.5189873417721,40.8860759493671,44.1772151898734,Edmondson Village,32.8492880304526,28.61976597,32.4263358240519,23563061.0443115,21504.551357829
16,Fells Point,62.285651067596,87.8415753955084,91.0498948998783,78.2166168823985,71.0256,80.2079876092488,59.6304900984622,65.2727071578714,73.4594534793672,75.229560792123,Fells Point,40.3271291596165,48.69336341,64.8618161308517,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,48.7359122753579,45.2837851558534,46.8067824144583,51.3757741902731,49.9543,51.6803736419941,51.1727078891257,52.0865062442887,51.0711747385521,53.0003045994517,Forest Park/Walbrook,42.2236367494165,36.28262253,38.086144706132,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,53.573823253319,51.5622904653346,54.9818962049081,58.2673997586161,51.8305,55.0489472978409,52.2998524875955,67.7216038621429,57.3286844575567,56.7922757140941,Glen-Fallstaff,45.3887011105746,44.28502449,51.2519831689315,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,74.3090720517357,67.2930266609725,69.2453175523153,70.0994448172778,68.8183,71.1365993533036,72.0517357086205,67.1710084802635,72.3567811603929,64.1205539625404,Greater Charles Village/Barclay,43.0830972615675,50.28328612,54.4145420207743,27051213.4559937,26454.2692113332
20,Greater Govans,42.2245108135942,38.1986705364666,44.377867240895,39.9775301938021,39.8839,48.9654526729706,38.0114221514839,51.5869300627282,41.4755172736635,34.6409512217957,Greater Govans,34.5043260710935,32.00250182,38.0485770874596,22698495.7178955,22982.125714974
21,Greater Mondawmin,112.422226989916,107.058571122077,98.5839948508904,93.8639776871916,102.875,104.2694700708,90.3239648144175,82.6003003647285,84.3166702424372,81.5275691911607,Greater Mondawmin,67.6082426487613,70.7339662,73.6281546654318,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,32.1268808458723,28.6024129049749,29.4157516605666,30.7713162532195,28.1957,27.9246306086485,27.1112918530567,25.6201708011386,21.6890334824454,26.4335095567303,Greater Roland Park/Poplar Hill,20.183990113964,23.34202938,20.4586022243581,56688145.1790161,39862.7497953117
23,Greater Rosemont,63.5027779220105,66.4105093722415,60.0238849369126,63.1912352666286,63.0355,63.2431590425255,63.9700919050833,72.9529051352614,68.5393841840179,61.4777506620281,Greater Rosemont,66.2295516259355,59.47413736,67.4216835552023,42204384.5406494,32559.0762211492
24,Greenmount East,57.3692551505547,77.9569892473118,87.4877810361681,79.6676441837732,66.4712,76.001955034213,82.2336265884652,86.021505376344,69.1593352883675,66.9599217986314,Oliver/Johnson Square,65.2767792954709,62.2573688,77.0668583752696,19072287.8240967,20797.4734578598
25,Hamilton,40.8398707891094,45.3776342101215,42.1473619443163,47.223504076296,50.1461,47.5311490539916,37.5326872788801,47.8387940316874,39.8400246115982,36.455929856945,Hamilton,27.0357517553063,25.42167702,32.2814946332015,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,119.289809506196,165.34122433882,139.263917144442,155.539115960792,159.423,157.75846125393,127.79729979656,113.556500832254,121.324209358239,98.0210837802848,Harbor East/Little Italy,76.5864332603939,88.3230555,90.3123135070619,10215859.0836182,18552.4075815937
27,Harford/Echodale,41.4513926005107,49.2903379060514,41.4513926005107,45.6084090504187,44.2425,45.667794999703,38.5414810855751,47.746303224657,35.690955519924,35.8097274184927,Hamilton Hills,27.5987841945289,22.12765957,25.8966565349544,65360039.1698608,40019.1854001996
28,Highlandtown,77.5172413793103,71.448275862069,76.1379310344828,96.1379310344828,88.8276,94.8965517241379,85.7931034482758,98.4827586206896,106.48275862069,83.5862068965517,Highlandtown,46.7120181405896,58.04988662,65.7596371882086,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,50.4920445139336,48.1927710843374,46.9971489009473,57.57380667709,45.3417,48.4686838958888,45.9854685919249,53.4351145038167,44.6978754713511,55.5504460590453,Howard Park/West Arlington,41.2316215640315,40.27274664,43.0428297464309,63262430.0730591,36034.4984469719
