OBJECTID,CSA2010,viol10,viol11,viol12,viol13,viol14,viol15,viol16,viol17,viol18,viol19,CSA2020,viol20,viol21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,12.6410556823087,12.5177283097984,13.874329407412,12.6410556823087,10.1128,15.04593944626,15.6009126225565,19.3623974841216,20.6573348954801,19.7940432879077,Allendale/Irvington/S. Hilton,20.0296735905045,17.26463448,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,8.39856490541422,7.17547292889759,7.01239399869537,6.44161774298761,6.93085,7.90932811480756,8.39856490541422,11.0078277886497,12.3124592302674,8.96934116112198,Beechfield/Ten Hills/West Hills,9.76578664239013,11.0072002,47882527.7110596,37524.9505334171
3,Belair-Edison,13.2636655948553,14.0675241157556,14.9288011024345,12.3449701423978,10.1631,11.7707854846118,14.8139641708773,19.2926045016077,15.2158934313275,15.7900780891134,Belair-Edison,15.9098442161087,16.83791846,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,25.3457838938426,21.2736080881837,15.2355543073791,16.0780734395844,14.1122,18.7460506915677,26.1180930983641,29.9094291932879,24.3628449062697,22.3267570034402,Brooklyn/Curtis Bay/Hawkins Point,17.5829067438237,18.02804362,176077742.748718,150987.703638771
5,Canton,8.2716049382716,7.65432098765432,6.66666666666667,6.91358024691358,6.2963,4.5679012345679,8.2716049382716,10.3703703703703,9.1358024691358,6.91358024691358,Canton,5.21907998543513,6.796941376,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,11.9709640446576,11.2917604109182,12.1407649530925,11.8011631362228,12.82,11.6738124548966,13.1595704037016,15.6216835760071,14.5179776711805,16.2159867555291,Cedonia/Frankford,13.270986417279,12.20218214,71541340.3063965,39962.5498347166
7,Cherry Hill,22.5554742745672,22.1897098268715,19.6293586930017,16.2155571811753,15.484,19.3855157278712,23.530846135089,26.7008046817849,20.848573518654,19.5074372104364,Cherry Hill,19.076840981857,22.27854856,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,12.6353790613718,7.09128416709644,9.02527075812274,9.1542031975245,9.02527,7.60701392470345,8.25167612171222,10.5724600309437,8.12274368231047,8.12274368231047,Chinquapin Park/Belvedere,9.00401717689431,6.787643718,21022590.1307373,21705.411630344
9,Claremont/Armistead,13.2426193658122,12.6351597618758,8.86891021747054,7.8969748511724,9.84085,11.5417324747904,13.7285870489612,15.7939497023447,14.093062811323,15.4294739399829,Orchard Ridge/Armistead,16.8799646954987,15.66637246,61243774.4211426,40104.415980189
10,Clifton-Berea,23.2934980757545,23.496050232935,19.9513874822767,15.393963945716,16.8118,23.6986023901154,24.7113631760178,25.1164674903787,25.1164674903788,27.8509216123151,Clifton-Berea,30.8829351986274,36.95393955,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,1.76461562068436,1.22755869264999,1.15083627435937,0.997391437778119,0.537057,0.920669019487494,1.84133803897498,2.8387294767531,1.84133803897499,1.53444836581249,Cross-Country/Cheswolde,3.48141981381972,2.497540301,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,7.07144598878322,6.0960741282614,8.53450377956596,7.80297488417459,7.80297,7.07144598878322,6.82760302365276,9.02218970982687,5.85223116313094,12.1921482565227,Dickeyville/Franklintown,6.5359477124183,10.07625272,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,15.4420498896996,16.3753605973189,13.4905820464958,14.5087391820804,12.6421,12.5572713388766,12.1330391990497,15.9511284574919,14.2541998981843,13.6602749024266,Dorchester/Ashburton,14.1748874628867,16.18618906,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,97.8530140379851,70.7415451442755,64.8464163822526,67.793980763264,58.7962,79.4291033198883,97.5798945082221,80.9804529941048,93.8566552901024,106.422587651256,Downtown/Seton Hill,49.9576629974598,53.76799323,20736554.4064941,21565.859394559
15,Edmondson Village,8.22784810126582,10.126582278481,11.1392405063291,8.86075949367089,8.60759,9.62025316455696,9.49367088607594,14.1772151898734,11.8987341772152,15.3164556962025,Edmondson Village,14.0984068800226,9.868884816,23563061.0443115,21504.551357829
16,Fells Point,13.4970682597632,17.4798097134639,17.4798097134639,15.3778072795663,13.4971,16.5947560570859,19.4711804403141,19.1392853191724,19.0286536121252,19.6924438544086,Fells Point,10.1522842639594,11.09231058,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,10.3563813585136,11.7778454665448,11.7778454665448,13.0977764240024,11.7778,11.9809117676921,12.5901106711341,14.9253731343283,15.8391714894913,16.2453040917859,Forest Park/Walbrook,12.2002970507108,14.53426692,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,11.7339412632426,11.3986857985785,13.3431674936301,12.2032989137723,11.3316,13.4772696794957,12.2032989137722,17.366233069599,16.9639265120021,16.3604666756068,Glen-Fallstaff,12.554321583776,12.76126095,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,17.1435543896041,15.1912634982612,16.2284180342871,14.9472271368434,16.6555,21.4141907144164,20.9261179915807,23.4884997864681,20.8040998108718,19.0348361905923,Greater Charles Village/Barclay,16.2889518413598,16.58404155,27051213.4559937,26454.2692113332
20,Greater Govans,12.0775208313828,9.1751708641513,11.2349030989608,9.83054021159068,8.98792,11.3285272914521,12.4520176013481,14.0436288737009,13.4818837187529,11.7966482539088,Greater Govans,13.6557906807047,14.07276139,22698495.7178955,22982.125714974
21,Greater Mondawmin,24.7800901094186,21.990989058142,27.5691911606951,25.3164556962025,27.3546,28.4273760995494,20.1673460630765,27.3546449259815,30.2510190946149,28.3201029821926,Greater Mondawmin,23.3850428339893,22.11159991,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,2.03334688897926,3.66002440016267,2.03334688897926,2.30445980750983,2.1689,4.2022502372238,4.06669377795851,3.79558085942795,2.5755727260404,1.89779042971397,Greater Roland Park/Poplar Hill,4.11918165591103,2.059590828,56688145.1790161,39862.7497953117
23,Greater Rosemont,19.5233397372657,19.0041019782959,16.9271509424165,19.4714159613687,18.4849,15.5252089931979,18.0694740121501,27.4157536736071,25.0791837582429,21.8599096526299,Greater Rosemont,26.690509305252,22.98165441,42204384.5406494,32559.0762211492
24,Greenmount East,19.6513470681458,26.2707722385142,26.1485826001955,27.0039100684262,19.5503,22.605083088954,25.5376344086021,32.8690127077223,27.4926686217009,25.4154447702834,Oliver/Johnson Square,27.7498202731848,23.43637671,19072287.8240967,20797.4734578598
25,Hamilton,9.46008306414398,7.46039070912167,7.22965697584987,9.61390555299185,9.46008,9.46008306414397,10.3061067528072,11.9212428857098,12.2288878634056,8.53714813105676,Hamilton,8.5545960777984,8.231781131,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,28.4815979286111,24.042907342334,27.1869798409469,32.1805067505086,28.1117,28.2966524875161,40.6879970408729,41.0578879230626,34.3998520436471,32.9202885148881,Harbor East/Little Italy,24.6667992838671,24.07002188,10215859.0836182,18552.4075815937
27,Harford/Echodale,10.6894708711919,11.8771898568799,7.30447176198112,9.56113783478829,8.78912,9.97683947977908,9.85806758121028,12.649207197577,9.91745353049468,9.26420808836629,Hamilton Hills,9.36170212765957,6.686930091,65360039.1698608,40019.1854001996
28,Highlandtown,20.6896551724138,16.551724137931,20.8275862068966,21.1034482758621,20.8276,17.3793103448275,21.5172413793103,28.1379310344827,31.0344827586207,24.2758620689655,Highlandtown,12.6984126984127,16.55328798,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,11.4043962107974,12.875931205739,9.65694840430424,11.5883380851651,7.81753,10.9445415248781,9.65694840430423,11.3124252736135,10.8525705876943,12.8759312057389,Howard Park/West Arlington,10.2279991476667,10.76070744,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,18.6503067484663,10.7351225204201,13.1466355503695,11.5908206923376,10.424,11.0462854920264,14.4690781796966,16.491637495138,14.0801244651886,16.1026837806301,Inner Harbor/Federal Hill,7.40544829410209,10.90981222,24995836.2615967,43415.0595478862
31,Lauraville,6.273934653304,8.63684510714577,7.00725169070317,7.57760938645808,5.86654,8.06648741139085,7.6590890572802,8.71832477796789,7.49612971563595,8.96276379043428,Greater Lauraville,9.00741787354292,8.742493818,49665744.2354736,34419.676527973
32,Loch Raven,8.42531513291098,8.03344001045,8.68656521455163,11.1031284697276,8.36,8.88250277578211,8.5559401737313,10.3193782248056,8.81719025537195,8.49062765332114,Loch Raven,9.18014264529341,9.321375609,44147812.3265381,29314.3346718286
33,Madison/East End,25.0610461380285,20.9484642076854,26.9888189178769,25.8321552499679,24.1614,26.4747461765839,27.6314098444929,28.6595553270787,28.2740007711091,31.4869554041896,Madison/East End,36.1070080420154,34.30165764,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,7.13135495744191,8.91419369680239,7.53393144697493,9.20174833218311,9.08673,10.6970324361628,8.85668276972624,10.8695652173913,10.6395215090867,7.07384403036577,Hampden/Remington,8.68437376642418,10.94005526,62441489.2398071,43152.625699222
35,Midtown,15.1797603195739,13.9147802929427,14.3808255659121,16.3781624500666,12.3169,19.6404793608521,21.3049267643142,20.8388814913448,19.1078561917443,23.768308921438,Midtown,13.4510790104684,16.60915843,23823949.9294434,25020.0969698082
36,Midway/Coldstream,22.0282626766417,22.6517040731505,20.2618453865337,20.9891936824605,19.5345,23.4829592684954,23.0673316708229,26.0806317539484,24.9376558603491,26.9118869492934,Midway/Coldstream,29.3520898146896,27.59366969,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,6.58188308790718,11.2672913877733,8.92458723784025,11.3788487282463,11.7135,14.0562248995983,14.1677822400713,20.8612226684515,20.7496653279786,21.5305667112896,Morrell Park/Violetville,21.5028631529742,21.85345331,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,2.32198142414861,2.32198142414861,1.93498452012384,2.32198142414861,3.09598,4.64396284829721,8.90092879256965,10.2554179566563,5.22445820433436,8.51393188854489,Mount Washington/Coldspring,3.10880829015544,2.936096718,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,3.14933577645442,3.43563902885937,3.43563902885937,3.43563902885937,3.37838,4.46633073751717,6.01236830050389,5.66880439761795,4.46633073751718,4.75263398992212,North Baltimore/Guilford/Homeland,2.60978100533303,2.609781005,74923987.6937256,42904.2221443544
40,Northwood,9.55356606381061,10.9956137715556,8.29177431953374,9.13296881571832,6.84973,10.5149312023072,8.77245688878207,11.3561256984918,10.7552724869314,9.91407799074686,Northwood,11.0782357393518,11.49108925,52743271.7706299,38889.8945908863
